probe,target,shift_f5tts,shift_xtts,shift_cosyvoice3,shift_chatterbox,shift_indextts,contrast,contrast_lo,contrast_hi,T,T_lo,T_hi,G,G_lo,G_hi,max_abs_shift_class,min_shift,mean_shift,matched_minus_unmatched_target_shift,mmu_lo,mmu_hi,contrast_of_contrasts,coc_lo,coc_hi,G_adj,G_adj_lo,G_adj_hi,controls,n_boot,G_min,G_min_lo,G_min_hi
resynth_vocos,f5tts,-0.01534031047897748,-0.013464833712130385,-0.006747327764935532,-0.006084837638660666,0.008251936442091382,-0.01082904481056868,-0.012330089305472563,-0.009510542883605488,0.01534031047897748,0.013286916436215625,0.017681494412274693,0.01082904481056868,0.009510542883605488,0.012330089305472563,,,,,,,,,,,,,,,,,
resynth_bigvgan,indextts,-0.001421553999105663,-0.002363670607354622,-0.0009197236385805678,-0.0005560116218178265,0.00011854341138783473,0.0014337833781025045,0.0008998668247332619,0.0019438630334615886,-0.00011854341138783473,-0.0006034404450133245,0.000428469892156696,-0.0014337833781025045,-0.0019438630334615886,-0.0008998668247332619,,,,,,,,,,,,,,,,,
resynth_glvocos,f5tts,0.028472712148610132,0.0023091512135462212,0.03130581855134734,0.029536923678247284,-0.0003617070315670392,0.012775165545716682,0.010686915206829066,0.015038153301328036,-0.028472712148610132,-0.03198781119212307,-0.02488817049470441,-0.012775165545716682,-0.015038153301328036,-0.010686915206829066,,,,,,,,,,,,,,,,,
resynth_griffinlim,f5tts,0.019988647894309607,-0.001998093908018465,0.028290349740445135,0.027516085884206735,0.008518184957171892,0.004407016225858284,0.002314551134182921,0.006518601409534005,-0.019988647894309607,-0.022793258354477486,-0.01685846425287412,-0.004407016225858284,-0.006518601409534005,-0.002314551134182921,,,,,,,,,,,,,,,,,
resynth_encodec,,0.009177791209387077,-0.014100037215542219,0.036988285207876254,0.041202184022591515,0.05303576133206447,,,,,,,,,,xtts,-0.014100037215542219,0.025260796911275418,,,,,,,,,,,,,,
resynth_dac,,-0.004855904917934305,-0.00338771531792812,-0.003415002579983054,-0.002166029275582239,0.0030407630726095817,,,,,,,,,,f5tts,-0.004855904917934305,-0.002156777803763627,,,,,,,,,,,,,,
resynth_hift3,cosyvoice3,-0.021708909372222328,-0.015404413276958722,-0.012030421568944691,-0.012859148570104196,0.00682447535103192,-0.0012434226018813595,-0.002090048809710968,-0.0004498328809351398,0.012030421568944691,0.009772393800389443,0.014279872861510444,0.0012434226018813595,0.0004498328809351398,0.002090048809710968,,,,,,,,,,,,,,,,,
resynth_s3vc3,cosyvoice3,-0.03361915487386586,-0.020810406105767627,-0.030274264614319993,-0.029493325836856626,0.004588533822077529,-0.010440676365716847,-0.012096993644098082,-0.009005698123982745,0.030274264614319993,0.024805758918103802,0.03565806635698842,0.010440676365716847,0.009005698123982745,0.012096993644098082,,,,,,,,,,,,,,,,,
resynth_hiftcb,chatterbox,-0.01979661802823678,-0.014266463930421476,-0.009442081080684714,-0.01106821100449754,0.00601297249423275,-0.0016951633682199842,-0.0024549323787485815,-0.0009225530264185712,0.01106821100449754,0.008969116181914732,0.013348750879122889,0.0016951633682199842,0.0009225530264185712,0.0024549323787485815,,,,,,,,,,,,,,,,,
resynth_s3vccb,chatterbox,-0.040954458330016354,-0.019891254064544596,-0.028521994163779086,-0.03670384449230123,0.0013311211289413493,-0.014694698134951552,-0.016240143169251504,-0.013166161582422642,0.03670384449230123,0.03212232698310139,0.04176848354205751,0.014694698134951552,0.013166161582422642,0.016240143169251504,,,,,,,,,,,,,,,,,
resynth_glc3,cosyvoice3,0.06511403152833994,0.04965776013305296,0.09412153556583394,0.10054325705878536,0.08862071909789425,0.01813759361131581,0.0162179342969504,0.019979807109279865,-0.09412153556583394,-0.09979125273544091,-0.08818884640540976,-0.01813759361131581,-0.019979807109279865,-0.0162179342969504,,,,,,,,,,,,,,,,,
resynth_glcb,chatterbox,0.05761335858071458,0.04168714003652414,0.08462430356974257,0.08903840879332924,0.07467847726939511,0.024387588929235135,0.023151182996525063,0.02555473747085868,-0.08903840879332924,-0.09415489997684795,-0.08332296637352488,-0.024387588929235135,-0.02555473747085868,-0.023151182996525063,,,,,,,,,,,,,,,,,
resynth_vocos_vs_unmatched,f5tts,,,,,,,,,,,,,,,,,,-0.017501253624703866,-0.019837650037067403,-0.015099024844050029,0.0009097881994682075,-0.0019187779149961697,0.0035708965787944495,-0.0009097881994682075,-0.0035708965787944495,0.0019187779149961697,,,,,
resynth_vocos_vs_strongest,f5tts,,,,,,,,,,,,,,,,,,,,,,,,,,,encodec+dac+bigvgan,10000.0,-0.009274712316791748,-0.014404091835413232,-0.003674720671388885
resynth_hift3_vs_unmatched,cosyvoice3,,,,,,,,,,,,,,,,,,-0.028817062882891292,-0.03154385937844795,-0.025609761508549166,-0.007786712302119738,-0.0085121634195971,-0.007022608170392279,0.007786712302119738,0.007022608170392279,0.0085121634195971,,,,,
resynth_hift3_vs_strongest,cosyvoice3,,,,,,,,,,,,,,,,,,,,,,,,,,,encodec+dac+bigvgan,10000.0,-0.0003293583683929239,-0.000999917939825278,0.00032472832117597187
resynth_s3vc3_vs_unmatched,cosyvoice3,,,,,,,,,,,,,,,,,,-0.04706090592826659,-0.05315631170298901,-0.03991906906604865,-0.016983966065955224,-0.018193502836766847,-0.01564187368734242,0.016983966065955224,0.01564187368734242,0.018193502836766847,,,,,
resynth_s3vc3_vs_strongest,cosyvoice3,,,,,,,,,,,,,,,,,,,,,,,,,,,encodec+dac+bigvgan,10000.0,0.008867895395442563,0.007417409759714628,0.010351503608364523
resynth_hiftcb_vs_unmatched,chatterbox,,,,,,,,,,,,,,,,,,-0.030586288378002178,-0.0331950513832025,-0.028015852098474934,-0.011652748142905914,-0.012290932111533795,-0.011020440419516716,0.011652748142905914,0.011020440419516716,0.012290932111533795,,,,,
resynth_hiftcb_vs_strongest,chatterbox,,,,,,,,,,,,,,,,,,,,,,,,,,,encodec+dac+bigvgan,10000.0,0.0016835990284467192,0.0010455977690025002,0.002352464748394971
resynth_s3vccb_vs_unmatched,chatterbox,,,,,,,,,,,,,,,,,,-0.056221921865805866,-0.06109913830906594,-0.05144892272812794,-0.02465228290963748,-0.02585592174197089,-0.023395121411394805,0.02465228290963748,0.023395121411394805,0.02585592174197089,,,,,
resynth_s3vccb_vs_strongest,chatterbox,,,,,,,,,,,,,,,,,,,,,,,,,,,encodec+dac+bigvgan,10000.0,0.014683133795178287,0.01326217872528665,0.016110461895719776
