ssl,band,classifier,macro_f1,ci_lo,ci_hi,chosen
wavlm,early,knn,0.8027137813466473,0.7744211114400255,0.8320315680203523,"[(4, 1.0), (5, 1.0), (4, 1.0), (5, 1.0), (4, 1.0)]"
wavlm,early,logreg,0.9565711312110284,0.93157296164424,0.9785109020279916,"[(4, 10.0), (5, 10.0), (4, 10.0), (4, 10.0), (4, 10.0)]"
wavlm,deep,knn,0.7396756572579555,0.7138983190459056,0.7649913893638434,"[(17, 1.0), (17, 1.0), (17, 1.0), (17, 1.0), (17, 1.0)]"
wavlm,deep,logreg,0.8963628748740884,0.8718664999889818,0.9187448713139568,"[(21, 10.0), (21, 10.0), (21, 10.0), (21, 10.0), (21, 10.0)]"
hubert,early,knn,0.748236720025411,0.7144668444218697,0.779377715304203,"[(3, 1.0), (3, 1.0), (5, 1.0), (5, 1.0), (4, 1.0)]"
hubert,early,logreg,0.959833475664828,0.9382603150052404,0.9773676616627284,"[(3, 10.0), (3, 10.0), (3, 10.0), (3, 10.0), (3, 10.0)]"
hubert,deep,knn,0.6851306966589543,0.6539777565065382,0.7160136053257776,"[(17, 1.0), (17, 1.0), (17, 1.0), (17, 1.0), (17, 1.0)]"
hubert,deep,logreg,0.8754006244132242,0.8499106215079778,0.9002599906194784,"[(21, 10.0), (21, 10.0), (21, 10.0), (21, 10.0), (21, 10.0)]"
xlsr,early,knn,0.8017528328577377,0.7734301533045583,0.8296648000363742,"[(5, 1.0), (5, 1.0), (5, 1.0), (5, 1.0), (5, 1.0)]"
xlsr,early,logreg,0.9534032132559538,0.9239191353857444,0.977380652679499,"[(4, 10.0), (4, 10.0), (4, 10.0), (5, 10.0), (4, 10.0)]"
xlsr,deep,knn,0.7775700083247795,0.7445664726835461,0.8069549370682457,"[(19, 1.0), (19, 1.0), (19, 1.0), (19, 1.0), (18, 1.0)]"
xlsr,deep,logreg,0.8943508658097364,0.8619624826757968,0.9241403528063716,"[(19, 10.0), (19, 10.0), (19, 10.0), (19, 10.0), (19, 10.0)]"
w2v2lv60,early,knn,0.7321714133379256,0.6948721968957593,0.7671771149634763,"[(3, 1.0), (3, 1.0), (5, 1.0), (4, 1.0), (3, 1.0)]"
w2v2lv60,early,logreg,0.9212586265139489,0.8892497489850085,0.9494853616335,"[(3, 10.0), (3, 10.0), (3, 10.0), (3, 10.0), (3, 10.0)]"
w2v2lv60,deep,knn,0.7494803765348156,0.7165990103081088,0.7825805103753047,"[(21, 1.0), (19, 1.0), (19, 1.0), (21, 1.0), (21, 1.0)]"
w2v2lv60,deep,logreg,0.916824146080085,0.8933727401636152,0.9363808697649612,"[(21, 10.0), (21, 10.0), (20, 10.0), (20, 10.0), (21, 10.0)]"
w2vbert,early,knn,0.8328693946390068,0.797554101064501,0.8628209618634106,"[(3, 1.0), (3, 1.0), (3, 1.0), (3, 1.0), (3, 1.0)]"
w2vbert,early,logreg,0.952681574770898,0.9314142780999862,0.9718833808944968,"[(3, 10.0), (2, 10.0), (3, 10.0), (3, 10.0), (3, 10.0)]"
w2vbert,deep,knn,0.812819654304937,0.7746727709520753,0.8469217199493461,"[(21, 1.0), (19, 1.0), (18, 1.0), (19, 1.0), (19, 1.0)]"
w2vbert,deep,logreg,0.9403092822481312,0.9169910566485784,0.9607535166732802,"[(17, 10.0), (17, 10.0), (17, 10.0), (17, 10.0), (17, 10.0)]"
wavlm,early,centroid,0.8570832131046897,0.8233044206957195,0.8884968485505342,"[(5, 1.0), (4, 1.0), (4, 1.0), (4, 1.0), (4, 1.0)]"
wavlm,deep,centroid,0.7796016400537981,0.7433169930906413,0.8132819139335205,"[(21, 1.0), (21, 1.0), (21, 1.0), (21, 1.0), (21, 1.0)]"
hubert,early,centroid,0.7438262474320368,0.705164592370627,0.7745888759803563,"[(3, 1.0), (3, 1.0), (3, 1.0), (3, 1.0), (3, 1.0)]"
hubert,deep,centroid,0.7122534514195206,0.6771078618042567,0.7470908867172338,"[(21, 1.0), (21, 1.0), (21, 1.0), (21, 1.0), (21, 1.0)]"
xlsr,early,centroid,0.8339967425654651,0.7931986266010979,0.8679992865568523,"[(5, 1.0), (4, 1.0), (5, 1.0), (5, 1.0), (5, 1.0)]"
xlsr,deep,centroid,0.8200096633339895,0.7832237589610408,0.8538310781132566,"[(19, 1.0), (19, 1.0), (19, 1.0), (19, 1.0), (19, 1.0)]"
w2v2lv60,early,centroid,0.8043790541850468,0.7683529343840652,0.843206543945903,"[(3, 1.0), (3, 1.0), (3, 1.0), (3, 1.0), (3, 1.0)]"
w2v2lv60,deep,centroid,0.8240408955456457,0.7925090730076139,0.8560841508443722,"[(21, 1.0), (21, 1.0), (21, 1.0), (21, 1.0), (21, 1.0)]"
w2vbert,early,centroid,0.858206005349383,0.8245470337383064,0.8902909061736874,"[(3, 1.0), (3, 1.0), (3, 1.0), (3, 1.0), (3, 1.0)]"
w2vbert,deep,centroid,0.8509264389507454,0.8181218345135952,0.8827383468705068,"[(17, 1.0), (17, 1.0), (17, 1.0), (17, 1.0), (17, 1.0)]"
