ssl,layer,protocol,k,weighting,macro_f1,same_utt_frac_topk,tie_rate
wavlm,17,loo,1,uniform,0.08761166850378807,0.9367292225201073,0.0
wavlm,17,loo,1,distance,0.08761166850378807,0.9367292225201073,0.0
wavlm,17,loo,3,uniform,0.1256645848945912,0.8879356568364611,0.9088471849865952
wavlm,17,loo,3,distance,0.11178618177733009,0.8879356568364611,0.0
wavlm,17,loo,5,uniform,0.4206819619134806,0.6345308310991957,0.38766756032171584
wavlm,17,loo,5,distance,0.22256436466289764,0.6345308310991957,0.0
wavlm,17,loo,7,uniform,0.6061679090249745,0.46533895059364216,0.3742627345844504
wavlm,17,loo,7,distance,0.3983466738502265,0.46533895059364216,0.0
wavlm,17,loo,11,uniform,0.7164867622146653,0.30397270290031686,0.18927613941018767
wavlm,17,loo,11,distance,0.5143530075140282,0.30397270290031686,0.0
wavlm,17,leave_utt,1,uniform,0.8139234844963663,0.0,0.0
wavlm,17,leave_utt,1,distance,0.8139234844963663,0.0,0.0
wavlm,17,leave_utt,3,uniform,0.7991291774812908,0.0,0.16675603217158178
wavlm,17,leave_utt,3,distance,0.8232816661385233,0.0,0.0
wavlm,17,leave_utt,5,uniform,0.82641114777287,0.0,0.142627345844504
wavlm,17,leave_utt,5,distance,0.8418929705091143,0.0,0.0
wavlm,17,leave_utt,7,uniform,0.8435445827246999,0.0,0.11152815013404825
wavlm,17,leave_utt,7,distance,0.8493707462115945,0.0,0.0
wavlm,17,leave_utt,11,uniform,0.8434938951963724,0.0,0.08900804289544235
wavlm,17,leave_utt,11,distance,0.8528872163842275,0.0,0.0
wavlm,17,leave_spk,1,uniform,0.6913355592600982,0.0,0.0
wavlm,17,leave_spk,1,distance,0.6913355592600982,0.0,0.0
wavlm,17,leave_spk,3,uniform,0.7324400657905861,0.0,0.17158176943699732
wavlm,17,leave_spk,3,distance,0.716317821658256,0.0,0.0
wavlm,17,leave_spk,5,uniform,0.7431022562400462,0.0,0.15924932975871314
wavlm,17,leave_spk,5,distance,0.7455332563265241,0.0,0.0
wavlm,17,leave_spk,7,uniform,0.7642390748783846,0.0,0.1067024128686327
wavlm,17,leave_spk,7,distance,0.762338071119269,0.0,0.0
wavlm,17,leave_spk,11,uniform,0.785537697642042,0.0,0.08793565683646112
wavlm,17,leave_spk,11,distance,0.781690610730967,0.0,0.0
wavlm,19,loo,1,uniform,0.028948540825466502,0.9812332439678284,0.0
wavlm,19,loo,1,distance,0.028948540825466502,0.9812332439678284,0.0
