ssl,setting,method,n_queries,n_ties_uniform,tie_rate_uniform,changed_rate,changed_rate_tied,changed_rate_untied,macro_f1,diff_vs_uniform,diff_ci_lo,diff_ci_hi,chosen_layers
wavlm,6way,uniform,2238,269,0.12019660411081323,0.0,0.0,0.0,0.7153165053543131,0.0,,,"[4, 4, 4, 4, 4]"
wavlm,6way,tiebreak_distance,2238,269,0.12019660411081323,0.06657730116175156,0.5539033457249071,0.0,0.7363633184216217,0.0210468130673086,0.008487525813194688,0.034802261853890314,"[4, 4, 4, 4, 4]"
wavlm,6way,inverse_distance,2238,269,0.12019660411081323,0.06657730116175156,0.5539033457249071,0.0,0.7353631510110423,0.0200466456567292,0.007655137787918601,0.03356594183517797,"[4, 4, 4, 4, 4]"
wavlm,ttsonly,uniform,1865,187,0.1002680965147453,0.0,0.0,0.0,0.8027137813466473,0.0,,,"[4, 5, 4, 5, 4]"
wavlm,ttsonly,tiebreak_distance,1865,187,0.1002680965147453,0.05630026809651475,0.5614973262032086,0.0,0.8148564186136303,0.012142637266983058,-0.0015066270788415379,0.026343206879340435,"[4, 5, 4, 5, 4]"
wavlm,ttsonly,inverse_distance,1865,187,0.1002680965147453,0.05737265415549598,0.5721925133689839,0.0,0.8159688584717658,0.01325507712511853,-0.0009185066585169403,0.027823335505334057,"[4, 5, 4, 5, 4]"
hubert,6way,uniform,2238,352,0.1572832886505809,0.0,0.0,0.0,0.6901504905028776,0.0,,,"[3, 3, 2, 3, 3]"
hubert,6way,tiebreak_distance,2238,352,0.1572832886505809,0.07953529937444147,0.5056818181818182,0.0,0.7153801968686128,0.025229706365735183,0.011857813220328991,0.03898433365969123,"[3, 3, 2, 3, 3]"
hubert,6way,inverse_distance,2238,352,0.1572832886505809,0.08087578194816801,0.5142045454545454,0.0,0.7148604143570593,0.024709923854181692,0.011374657483742301,0.0385558308654882,"[3, 3, 2, 3, 3]"
hubert,ttsonly,uniform,1865,247,0.1324396782841823,0.0,0.0,0.0,0.7417604838928986,0.0,,,"[12, 3, 6, 5, 6]"
hubert,ttsonly,tiebreak_distance,1865,247,0.1324396782841823,0.0707774798927614,0.5344129554655871,0.0,0.7722881062692074,0.030527622376308794,0.018487368071429748,0.04393157855528596,"[12, 3, 6, 5, 6]"
hubert,ttsonly,inverse_distance,1865,247,0.1324396782841823,0.06970509383378017,0.5263157894736842,0.0,0.7729072134959007,0.031146729603002132,0.01927075251928432,0.04508077552943027,"[12, 3, 6, 5, 6]"
xlsr,6way,uniform,2238,289,0.1291331546023235,0.0,0.0,0.0,0.7264012717202869,0.0,,,"[5, 5, 5, 5, 5]"
xlsr,6way,tiebreak_distance,2238,289,0.1291331546023235,0.07327971403038427,0.5674740484429066,0.0,0.7511424687857642,0.024741197065477283,0.01492612205551815,0.03510571284920191,"[5, 5, 5, 5, 5]"
xlsr,6way,inverse_distance,2238,289,0.1291331546023235,0.07283288650580876,0.5640138408304498,0.0,0.7514265739843213,0.025025302264034432,0.014980170687978411,0.03525989159040204,"[5, 5, 5, 5, 5]"
xlsr,ttsonly,uniform,1865,204,0.10938337801608579,0.0,0.0,0.0,0.7883211418624417,0.0,,,"[5, 5, 5, 5, 6]"
xlsr,ttsonly,tiebreak_distance,1865,204,0.10938337801608579,0.06058981233243968,0.553921568627451,0.0,0.8103561647747926,0.02203502291235082,0.011967253088695964,0.03317974589153835,"[5, 5, 5, 5, 6]"
xlsr,ttsonly,inverse_distance,1865,204,0.10938337801608579,0.060053619302949064,0.5490196078431373,0.0,0.8108998432201678,0.022578701357726105,0.012098394562146115,0.03393420308293593,"[5, 5, 5, 5, 6]"
w2v2lv60,6way,uniform,2238,321,0.14343163538873996,0.0,0.0,0.0,0.6852144177141929,0.0,,,"[3, 3, 2, 2, 3]"
w2v2lv60,6way,tiebreak_distance,2238,321,0.14343163538873996,0.0777479892761394,0.5420560747663551,0.0,0.69962395422686,0.014409536512667076,0.0008139115890374559,0.027684156437197766,"[3, 3, 2, 2, 3]"
w2v2lv60,6way,inverse_distance,2238,321,0.14343163538873996,0.0773011617515639,0.5389408099688473,0.0,0.6996741138655204,0.014459696151327472,0.0008773729661439944,0.027797205081176737,"[3, 3, 2, 2, 3]"
w2v2lv60,ttsonly,uniform,1865,265,0.14209115281501342,0.0,0.0,0.0,0.7442932715357404,0.0,,,"[21, 3, 19, 21, 21]"
w2v2lv60,ttsonly,tiebreak_distance,1865,265,0.14209115281501342,0.08632707774798927,0.6075471698113207,0.0,0.7670473126151854,0.02275404107944501,0.008880465329868536,0.03849609582191834,"[21, 3, 19, 21, 21]"
w2v2lv60,ttsonly,inverse_distance,1865,265,0.14209115281501342,0.08632707774798927,0.6075471698113207,0.0,0.7670473126151854,0.02275404107944501,0.008880465329868536,0.03849609582191834,"[21, 3, 19, 21, 21]"
w2vbert,6way,uniform,2238,187,0.0835567470956211,0.0,0.0,0.0,0.7809918696050252,0.0,,,"[3, 3, 3, 3, 3]"
w2vbert,6way,tiebreak_distance,2238,187,0.0835567470956211,0.0451295799821269,0.5401069518716578,0.0,0.7920679249635959,0.011076055358570702,0.0012487641000639346,0.020804170215527835,"[3, 3, 3, 3, 3]"
w2vbert,6way,inverse_distance,2238,187,0.0835567470956211,0.04602323503127793,0.5508021390374331,0.0,0.7929307461639369,0.011938876558911682,0.0019139245020229764,0.02182203089723598,"[3, 3, 3, 3, 3]"
w2vbert,ttsonly,uniform,1865,127,0.06809651474530831,0.0,0.0,0.0,0.8178490216392177,0.0,,,"[3, 3, 3, 0, 19]"
w2vbert,ttsonly,tiebreak_distance,1865,127,0.06809651474530831,0.032171581769437,0.47244094488188976,0.0,0.8237578577289428,0.005908836089725145,-0.0015403768427548312,0.01265737587959048,"[3, 3, 3, 0, 19]"
w2vbert,ttsonly,inverse_distance,1865,127,0.06809651474530831,0.032171581769437,0.47244094488188976,0.0,0.8237578577289428,0.005908836089725145,-0.0015403768427548312,0.01265737587959048,"[3, 3, 3, 0, 19]"
