ssl,setting,method,true,pred,rate
wavlm,6way,uniform,real,real,0.3672922252010724
wavlm,6way,uniform,real,f5tts,0.02680965147453083
wavlm,6way,uniform,real,xtts,0.05361930294906166
wavlm,6way,uniform,real,cosyvoice3,0.225201072386059
wavlm,6way,uniform,real,chatterbox,0.19839142091152814
wavlm,6way,uniform,real,indextts,0.128686327077748
wavlm,6way,uniform,f5tts,real,0.002680965147453083
wavlm,6way,uniform,f5tts,f5tts,0.9571045576407506
wavlm,6way,uniform,f5tts,xtts,0.029490616621983913
wavlm,6way,uniform,f5tts,cosyvoice3,0.002680965147453083
wavlm,6way,uniform,f5tts,chatterbox,0.00804289544235925
wavlm,6way,uniform,f5tts,indextts,0.0
wavlm,6way,uniform,xtts,real,0.002680965147453083
wavlm,6way,uniform,xtts,f5tts,0.0
wavlm,6way,uniform,xtts,xtts,0.9115281501340483
wavlm,6way,uniform,xtts,cosyvoice3,0.03485254691689008
wavlm,6way,uniform,xtts,chatterbox,0.045576407506702415
wavlm,6way,uniform,xtts,indextts,0.005361930294906166
wavlm,6way,uniform,cosyvoice3,real,0.024128686327077747
wavlm,6way,uniform,cosyvoice3,f5tts,0.002680965147453083
wavlm,6way,uniform,cosyvoice3,xtts,0.013404825737265416
wavlm,6way,uniform,cosyvoice3,cosyvoice3,0.6353887399463807
wavlm,6way,uniform,cosyvoice3,chatterbox,0.28418230563002683
wavlm,6way,uniform,cosyvoice3,indextts,0.040214477211796246
wavlm,6way,uniform,chatterbox,real,0.01876675603217158
wavlm,6way,uniform,chatterbox,f5tts,0.002680965147453083
wavlm,6way,uniform,chatterbox,xtts,0.021447721179624665
wavlm,6way,uniform,chatterbox,cosyvoice3,0.12064343163538874
wavlm,6way,uniform,chatterbox,chatterbox,0.7855227882037533
wavlm,6way,uniform,chatterbox,indextts,0.05093833780160858
wavlm,6way,uniform,indextts,real,0.013404825737265416
wavlm,6way,uniform,indextts,f5tts,0.0
wavlm,6way,uniform,indextts,xtts,0.0160857908847185
