ssl,setting,method,class,recall,recall_change_vs_uniform
wavlm,6way,uniform,real,0.3672922252010724,0.0
wavlm,6way,uniform,f5tts,0.9571045576407506,0.0
wavlm,6way,uniform,xtts,0.9115281501340483,0.0
wavlm,6way,uniform,cosyvoice3,0.6353887399463807,0.0
wavlm,6way,uniform,chatterbox,0.7855227882037533,0.0
wavlm,6way,uniform,indextts,0.6648793565683646,0.0
wavlm,6way,tiebreak_distance,real,0.44235924932975873,0.07506702412868632
wavlm,6way,tiebreak_distance,f5tts,0.9597855227882037,0.002680965147453085
wavlm,6way,tiebreak_distance,xtts,0.9276139410187667,0.0160857908847184
wavlm,6way,tiebreak_distance,cosyvoice3,0.6541554959785523,0.018766756032171594
wavlm,6way,tiebreak_distance,chatterbox,0.739946380697051,-0.04557640750670233
wavlm,6way,tiebreak_distance,indextts,0.7184986595174263,0.0536193029490617
wavlm,6way,inverse_distance,real,0.43967828418230565,0.07238605898123324
wavlm,6way,inverse_distance,f5tts,0.9597855227882037,0.002680965147453085
wavlm,6way,inverse_distance,xtts,0.9276139410187667,0.0160857908847184
wavlm,6way,inverse_distance,cosyvoice3,0.6541554959785523,0.018766756032171594
wavlm,6way,inverse_distance,chatterbox,0.739946380697051,-0.04557640750670233
wavlm,6way,inverse_distance,indextts,0.7158176943699732,0.05093833780160861
wavlm,ttsonly,uniform,f5tts,0.9490616621983914,0.0
wavlm,ttsonly,uniform,xtts,0.9249329758713136,0.0
wavlm,ttsonly,uniform,cosyvoice3,0.6085790884718498,0.0
wavlm,ttsonly,uniform,chatterbox,0.806970509383378,0.0
wavlm,ttsonly,uniform,indextts,0.7131367292225201,0.0
wavlm,ttsonly,tiebreak_distance,f5tts,0.9490616621983914,0.0
wavlm,ttsonly,tiebreak_distance,xtts,0.935656836461126,0.01072386058981234
wavlm,ttsonly,tiebreak_distance,cosyvoice3,0.6300268096514745,0.02144772117962468
wavlm,ttsonly,tiebreak_distance,chatterbox,0.7721179624664879,-0.034852546916890104
wavlm,ttsonly,tiebreak_distance,indextts,0.7882037533512064,0.07506702412868627
wavlm,ttsonly,inverse_distance,f5tts,0.9490616621983914,0.0
wavlm,ttsonly,inverse_distance,xtts,0.935656836461126,0.01072386058981234
wavlm,ttsonly,inverse_distance,cosyvoice3,0.6353887399463807,0.02680965147453085
wavlm,ttsonly,inverse_distance,chatterbox,0.7721179624664879,-0.034852546916890104
wavlm,ttsonly,inverse_distance,indextts,0.7882037533512064,0.07506702412868627
hubert,6way,uniform,real,0.4316353887399464,0.0
hubert,6way,uniform,f5tts,0.9329758713136729,0.0
hubert,6way,uniform,xtts,0.8954423592493298,0.0
hubert,6way,uniform,cosyvoice3,0.6112600536193029,0.0
hubert,6way,uniform,chatterbox,0.8176943699731903,0.0
hubert,6way,uniform,indextts,0.450402144772118,0.0
hubert,6way,tiebreak_distance,real,0.4932975871313673,0.0616621983914209
hubert,6way,tiebreak_distance,f5tts,0.935656836461126,0.002680965147453085
hubert,6way,tiebreak_distance,xtts,0.9195710455764075,0.024128686327077653
hubert,6way,tiebreak_distance,cosyvoice3,0.6380697050938338,0.02680965147453085
hubert,6way,tiebreak_distance,chatterbox,0.7828418230563002,-0.034852546916890104
hubert,6way,tiebreak_distance,indextts,0.5308310991957105,0.08042895442359249
hubert,6way,inverse_distance,real,0.4932975871313673,0.0616621983914209
hubert,6way,inverse_distance,f5tts,0.935656836461126,0.002680965147453085
