voc,layer,real,f5tts,xtts,cosyvoice3,chatterbox,indextts
voc_pwg,0,0.7426273458445041,0.06702412868632708,0.06702412868632708,0.032171581769437,0.029490616621983913,0.06166219839142091
voc_melgan,0,0.7131367292225201,0.05093833780160858,0.0160857908847185,0.10991957104557641,0.07238605898123325,0.03753351206434316
voc_mbmelgan,0,0.6407506702412868,0.16621983914209115,0.03485254691689008,0.064343163538874,0.03753351206434316,0.05630026809651475
voc_hifigan,0,0.6970509383378016,0.128686327077748,0.03753351206434316,0.03753351206434316,0.05630026809651475,0.04289544235924933
voc_stylemelgan,0,0.6487935656836461,0.12064343163538874,0.03753351206434316,0.05630026809651475,0.09115281501340483,0.045576407506702415
voc_pwg,4,0.4879356568364611,0.24664879356568364,0.10187667560321716,0.05093833780160858,0.06970509383378017,0.04289544235924933
voc_melgan,4,0.6246648793565683,0.10455764075067024,0.1581769436997319,0.05093833780160858,0.05361930294906166,0.00804289544235925
voc_mbmelgan,4,0.5281501340482574,0.26541554959785524,0.12064343163538874,0.01876675603217158,0.05361930294906166,0.013404825737265416
voc_hifigan,4,0.3109919571045576,0.24128686327077747,0.09115281501340483,0.1554959785522788,0.15281501340482573,0.04825737265415549
voc_stylemelgan,4,0.4262734584450402,0.16085790884718498,0.10723860589812333,0.11796246648793565,0.14745308310991956,0.040214477211796246
