probe,target,shift_f5tts,shift_xtts,shift_cosyvoice3,shift_chatterbox,shift_indextts,contrast,contrast_lo,contrast_hi,T,T_lo,T_hi,G,G_lo,G_hi,max_abs_shift_class,min_shift,mean_shift,matched_minus_unmatched_target_shift,mmu_lo,mmu_hi,contrast_of_contrasts,coc_lo,coc_hi,G_adj,G_adj_lo,G_adj_hi,controls,G_min,G_min_lo,G_min_hi
resynth_vocos,f5tts,-0.01534031047897748,-0.013464833712130385,-0.006747327764935532,-0.006084837638660666,0.008251936442091382,-0.01082904481056868,-0.012330089305472563,-0.009510542883605488,0.01534031047897748,0.013286916436215625,0.017681494412274693,0.01082904481056868,0.009510542883605488,0.012330089305472563,,,,,,,,,,,,,,,,
resynth_bigvgan,indextts,-0.001421553999105663,-0.002363670607354622,-0.0009197236385805678,-0.0005560116218178265,0.00011854341138783473,0.0014337833781025045,0.0008998668247332619,0.0019438630334615886,-0.00011854341138783473,-0.0006034404450133245,0.000428469892156696,-0.0014337833781025045,-0.0019438630334615886,-0.0008998668247332619,,,,,,,,,,,,,,,,
resynth_glvocos,f5tts,0.028472712148610132,0.0023091512135462212,0.03130581855134734,0.029536923678247284,-0.0003617070315670392,0.012775165545716682,0.010686915206829066,0.015038153301328036,-0.028472712148610132,-0.03198781119212307,-0.02488817049470441,-0.012775165545716682,-0.015038153301328036,-0.010686915206829066,,,,,,,,,,,,,,,,
resynth_griffinlim,f5tts,0.019988647894309607,-0.001998093908018465,0.028290349740445135,0.027516085884206735,0.008518184957171892,0.004407016225858284,0.002314551134182921,0.006518601409534005,-0.019988647894309607,-0.022793258354477486,-0.01685846425287412,-0.004407016225858284,-0.006518601409534005,-0.002314551134182921,,,,,,,,,,,,,,,,
resynth_encodec,,0.009177791209387077,-0.014100037215542219,0.036988285207876254,0.041202184022591515,0.05303576133206447,,,,,,,,,,xtts,-0.014100037215542219,0.025260796911275418,,,,,,,,,,,,,
resynth_dac,,-0.004855904917934305,-0.00338771531792812,-0.003415002579983054,-0.002166029275582239,0.0030407630726095817,,,,,,,,,,f5tts,-0.004855904917934305,-0.002156777803763627,,,,,,,,,,,,,
resynth_hift3,cosyvoice3,-0.021708909372222328,-0.015404413276958722,-0.012030421568944691,-0.012859148570104196,0.00682447535103192,-0.0012434226018813595,-0.002090048809710968,-0.0004498328809351398,0.012030421568944691,0.009772393800389443,0.014279872861510444,0.0012434226018813595,0.0004498328809351398,0.002090048809710968,,,,,,,,,,,,,,,,
resynth_s3vc3,cosyvoice3,-0.03361915487386586,-0.020810406105767627,-0.030274264614319993,-0.029493325836856626,0.004588533822077529,-0.010440676365716847,-0.012096993644098082,-0.009005698123982745,0.030274264614319993,0.024805758918103802,0.03565806635698842,0.010440676365716847,0.009005698123982745,0.012096993644098082,,,,,,,,,,,,,,,,
resynth_vocos_vs_unmatched,f5tts,,,,,,,,,,,,,,,,,,-0.017501253624703866,-0.019837650037067403,-0.015099024844050029,0.0009097881994682075,-0.0019187779149961697,0.0035708965787944495,-0.0009097881994682075,-0.0035708965787944495,0.0019187779149961697,,,,
resynth_vocos_vs_strongest,f5tts,,,,,,,,,,,,,,,,,,,,,,,,,,,encodec+dac+bigvgan,-0.009274712316791748,-0.014338339073700399,-0.0034624325438340083
resynth_hift3_vs_unmatched,cosyvoice3,,,,,,,,,,,,,,,,,,-0.028817062882891292,-0.03171926940439947,-0.025749597060884838,-0.007786712302119738,-0.00858947370529444,-0.00695281858464818,0.007786712302119738,0.00695281858464818,0.00858947370529444,,,,
resynth_hift3_vs_strongest,cosyvoice3,,,,,,,,,,,,,,,,,,,,,,,,,,,encodec+dac+bigvgan,-0.0003293583683929239,-0.0010250850749847816,0.00033431282557787393
resynth_s3vc3_vs_unmatched,cosyvoice3,,,,,,,,,,,,,,,,,,-0.04706090592826659,-0.05305386052602475,-0.04029600628971655,-0.016983966065955224,-0.018261432449709618,-0.015621358013163696,0.016983966065955224,0.015621358013163696,0.018261432449709618,,,,
resynth_s3vc3_vs_strongest,cosyvoice3,,,,,,,,,,,,,,,,,,,,,,,,,,,encodec+dac+bigvgan,0.008867895395442563,0.007420206411761489,0.010379785083922954
resynth_encodec_under_cosyvoice3,cosyvoice3,,,,,,,,,-0.036988285207876254,-0.04312006945164554,-0.03090373411729359,-0.01465936037075104,-0.01619702502799698,-0.012982115350136702,,,,,,,,,,,,,,,,
resynth_encodec_under_f5tts,f5tts,,,,,,,,,-0.009177791209387077,-0.014076200141861523,-0.0038594521266971213,0.020103757127360428,0.01394304298984572,0.02527814777219359,,,,,,,,,,,,,,,,
resynth_encodec_under_indextts,indextts,,,,,,,,,-0.05303576133206447,-0.05972037101857711,-0.04620567859892235,-0.03471870552598631,-0.03857921165088974,-0.030143410129289075,,,,,,,,,,,,,,,,
resynth_dac_under_cosyvoice3,cosyvoice3,,,,,,,,,0.003415002579983054,0.00207470752023721,0.0051518335837876066,0.0015727809702742834,0.0010686400058952045,0.002275101578009484,,,,,,,,,,,,,,,,
resynth_dac_under_f5tts,f5tts,,,,,,,,,0.004855904917934305,0.003540410347067845,0.0064689460287460756,0.0033739088927133474,0.0028236189332474597,0.004014270809239082,,,,,,,,,,,,,,,,
resynth_dac_under_indextts,indextts,,,,,,,,,-0.0030407630726095817,-0.004103368263525032,-0.0016041342985963275,-0.0064969260954665115,-0.007254979549095788,-0.00570869678037867,,,,,,,,,,,,,,,,
resynth_bigvgan_under_cosyvoice3,cosyvoice3,,,,,,,,,0.0009197236385805678,0.0004819599690766741,0.0014461771719467388,-0.00013594956564200148,-0.00031634965901546926,4.003809473468863e-05,,,,,,,,,,,,,,,,
resynth_bigvgan_under_f5tts,f5tts,,,,,,,,,0.001421553999105663,0.0009075540298577129,0.001999833937235785,0.0004913383850143678,0.00021247773038335797,0.0007870863621825711,,,,,,,,,,,,,,,,
