probe,target,shift_f5tts,shift_xtts,shift_cosyvoice3,shift_chatterbox,shift_indextts,contrast,contrast_lo,contrast_hi,T,T_lo,T_hi,G,G_lo,G_hi,max_abs_shift_class,min_shift,mean_shift,matched_minus_unmatched_target_shift,mmu_lo,mmu_hi,contrast_of_contrasts,coc_lo,coc_hi,G_adj,G_adj_lo,G_adj_hi,controls,n_boot,G_min,G_min_lo,G_min_hi
resynth_vocos,f5tts,-0.011483770273326229,0.0016290169938320128,-0.0031417422895457085,-0.004117849525114167,-0.0032841774158119835,-0.009255082214166268,-0.010395692222295274,-0.008107092943961487,0.011483770273326229,0.009776194253486126,0.012936809250744077,0.009255082214166268,0.008107092943961487,0.010395692222295274,,,,,,,,,,,,,,,,,
resynth_bigvgan,indextts,-0.008578144673048332,-0.0034587662916720392,-0.00899959585302317,-0.009103291156144947,-0.006897146995841019,0.0006378024976311037,0.00044606409527909476,0.0008264528585921878,0.006897146995841019,0.005331037412037115,0.008591239438090752,-0.0006378024976311037,-0.0008264528585921878,-0.00044606409527909476,,,,,,,,,,,,,,,,,
resynth_glvocos,f5tts,-0.00018135903667828353,0.016952711359745055,0.011325291590140908,0.013786105783631271,0.010370292388721702,-0.013289959317238018,-0.014141848454805645,-0.012303897243269918,0.00018135903667828353,-0.0018874931568834941,0.0022623918252822326,0.013289959317238018,0.012303897243269918,0.014141848454805645,,,,,,,,,,,,,,,,,
resynth_griffinlim,f5tts,-0.00023798952153796486,0.01676824041729638,0.011077260523635005,0.013682594567777005,0.009396298481376178,-0.012969088019059107,-0.013861104199724333,-0.012020131735645463,0.00023798952153796486,-0.0022160149939962335,0.0027909164991969577,0.012969088019059107,0.012020131735645463,0.013861104199724333,,,,,,,,,,,,,,,,,
resynth_encodec,,-0.009931781975897004,0.0006044535790307912,-0.0041524299667603844,-0.004548663428258001,0.0004098418570715365,,,,,,,,,,f5tts,-0.009931781975897004,-0.0035237159869626125,,,,,,,,,,,,,,
resynth_dac,,-0.008803649338576493,-0.0030394274811322824,-0.008414031513255019,-0.008714526492213435,-0.006096341974294217,,,,,,,,,,f5tts,-0.008803649338576493,-0.00701359535989429,,,,,,,,,,,,,,
resynth_hift3,cosyvoice3,-0.006786413710494463,-0.0021913606104198794,-0.008616834639224545,-0.007601094309829835,-0.0064654414199951825,-0.002855757126539706,-0.0032495726603863845,-0.0025118012553492016,0.008616834639224545,0.0069369491085775736,0.010301938887373617,0.002855757126539706,0.0025118012553492016,0.0032495726603863845,,,,,,,,,,,,,,,,,
resynth_s3vc3,cosyvoice3,-0.007705764700196703,-0.00374815531134925,-0.009427730743111618,-0.008303038715996627,-0.0027549186916197912,-0.003799761388321025,-0.004268920827951984,-0.003355514024481094,0.009427730743111618,0.006579621864379523,0.012697604930206887,0.003799761388321025,0.003355514024481094,0.004268920827951984,,,,,,,,,,,,,,,,,
resynth_vocos_vs_unmatched,f5tts,,,,,,,,,,,,,,,,,,-0.002116054616089479,-0.0034005488529645043,-0.0007448142452723457,-0.004131257234405896,-0.005262530608978661,-0.0030295213775688615,0.004131257234405896,0.0030295213775688615,0.005262530608978661,,,,,
resynth_vocos_vs_strongest,f5tts,,,,,,,,,,,,,,,,,,,,,,,,,,,encodec+dac+bigvgan,10000.0,0.001244999727998278,-1.7455627999414518e-06,0.0025120136403884302
resynth_hift3_vs_unmatched,cosyvoice3,,,,,,,,,,,,,,,,,,-0.0023336038992168434,-0.003055402796436962,-0.0015714930734666982,-0.0015875382933156418,-0.0018207570306244354,-0.001382280447824679,0.0015875382933156418,0.001382280447824679,0.0018207570306244354,,,,,
resynth_hift3_vs_strongest,cosyvoice3,,,,,,,,,,,,,,,,,,,,,,,,,,,encodec+dac+bigvgan,10000.0,0.0008654985526931188,0.0006736676265887524,0.0010661647162173717
resynth_s3vc3_vs_unmatched,cosyvoice3,,,,,,,,,,,,,,,,,,-0.003144500003103916,-0.005304511556957026,-0.000998655804079725,-0.002531542555096961,-0.002883689650996741,-0.0021812186060624883,0.002531542555096961,0.0021812186060624883,0.002883689650996741,,,,,
resynth_s3vc3_vs_strongest,cosyvoice3,,,,,,,,,,,,,,,,,,,,,,,,,,,encodec+dac+bigvgan,10000.0,0.0018095028144744381,0.0014583148264915911,0.0021746790389703652
resynth_encodec_under_cosyvoice3,cosyvoice3,,,,,,,,,0.0041524299667603844,0.001869338758301672,0.006558821082015899,0.0007858924747472154,0.00041534818808050203,0.001162207958517566,,,,,,,,,,,,,,,,,
resynth_encodec_under_f5tts,f5tts,,,,,,,,,0.009931781975897004,0.007853315798294009,0.011829792129822679,0.00801008248616799,0.00715461709101451,0.008711260946863862,,,,,,,,,,,,,,,,,
resynth_encodec_under_indextts,indextts,,,,,,,,,-0.0004098418570715365,-0.002824293233243737,0.0018588491962678309,-0.004916947305042686,-0.0055576127323496306,-0.0042395802686066774,,,,,,,,,,,,,,,,,
resynth_dac_under_cosyvoice3,cosyvoice3,,,,,,,,,0.008414031513255019,0.0068645682449637755,0.010089571511563058,0.0017505451917009124,0.0016192547984258652,0.0018761148554359511,,,,,,,,,,,,,,,,,
resynth_dac_under_f5tts,f5tts,,,,,,,,,0.008803649338576493,0.007438745849432014,0.010453154796334798,0.0022375674733527543,0.002114060930463127,0.002370073223767361,,,,,,,,,,,,,,,,,
resynth_dac_under_indextts,indextts,,,,,,,,,0.006096341974294217,0.0046725760103980005,0.00758715111007437,-0.0011465667320000902,-0.001282059773259448,-0.0010196413767946545,,,,,,,,,,,,,,,,,
resynth_bigvgan_under_cosyvoice3,cosyvoice3,,,,,,,,,0.00899959585302317,0.007364785427889517,0.010727848817608576,0.001990258573846587,0.0017711311927409716,0.0022394881534526763,,,,,,,,,,,,,,,,,
resynth_bigvgan_under_f5tts,f5tts,,,,,,,,,0.008578144673048332,0.007132414873565751,0.010095227850638286,0.0014634445988780372,0.0009081510381232228,0.001897164002762738,,,,,,,,,,,,,,,,,
