ssl,band,classifier,macro_f1,ci_lo,ci_hi,chosen
wavlm,early,knn,0.8027137813466473,0.7744211114400255,0.8320315680203523,"[(4, 1.0), (5, 1.0), (4, 1.0), (5, 1.0), (4, 1.0)]"
wavlm,early,logreg,0.9565711312110284,0.93157296164424,0.9785109020279916,"[(4, 10.0), (5, 10.0), (4, 10.0), (4, 10.0), (4, 10.0)]"
wavlm,early,centroid,0.8585482381221569,0.8252684595641918,0.8867196778049934,"[(5, 1.0), (4, 1.0), (4, 1.0), (4, 1.0), (4, 1.0)]"
wavlm,deep,knn,0.7396756572579555,0.7138983190459056,0.7649913893638434,"[(17, 1.0), (17, 1.0), (17, 1.0), (17, 1.0), (17, 1.0)]"
wavlm,deep,logreg,0.8963628748740884,0.8718664999889818,0.9187448713139568,"[(21, 10.0), (21, 10.0), (21, 10.0), (21, 10.0), (21, 10.0)]"
wavlm,deep,centroid,0.7796716709469348,0.7429077630050869,0.814656446830971,"[(21, 1.0), (21, 1.0), (21, 1.0), (21, 1.0), (21, 1.0)]"
hubert,early,knn,0.748236720025411,0.7144668444218697,0.779377715304203,"[(3, 1.0), (3, 1.0), (5, 1.0), (5, 1.0), (4, 1.0)]"
hubert,early,logreg,0.9598334756648281,0.9382603150052405,0.9773676616627285,"[(3, 10.0), (3, 10.0), (3, 10.0), (3, 10.0), (3, 10.0)]"
hubert,early,centroid,0.7443550897410821,0.7091105278970047,0.7760391281092471,"[(3, 1.0), (3, 1.0), (3, 1.0), (3, 1.0), (3, 1.0)]"
hubert,deep,knn,0.6851306966589543,0.6539777565065382,0.7160136053257776,"[(17, 1.0), (17, 1.0), (17, 1.0), (17, 1.0), (17, 1.0)]"
hubert,deep,logreg,0.8754006244132242,0.8499106215079778,0.9002599906194784,"[(21, 10.0), (21, 10.0), (21, 10.0), (21, 10.0), (21, 10.0)]"
hubert,deep,centroid,0.7111642009101916,0.6750358692396734,0.7453268127665504,"[(21, 1.0), (21, 1.0), (21, 1.0), (21, 1.0), (21, 1.0)]"
xlsr,early,knn,0.8017528328577377,0.7734301533045583,0.8296648000363742,"[(5, 1.0), (5, 1.0), (5, 1.0), (5, 1.0), (5, 1.0)]"
xlsr,early,logreg,0.9534032132559538,0.9239191353857444,0.977380652679499,"[(4, 10.0), (4, 10.0), (4, 10.0), (5, 10.0), (4, 10.0)]"
xlsr,early,centroid,0.8380610094890322,0.8009636459682427,0.8760492628644712,"[(5, 1.0), (5, 1.0), (5, 1.0), (5, 1.0), (5, 1.0)]"
xlsr,deep,knn,0.7775700083247795,0.7445664726835461,0.8069549370682457,"[(19, 1.0), (19, 1.0), (19, 1.0), (19, 1.0), (18, 1.0)]"
xlsr,deep,logreg,0.8943508658097364,0.8619624826757968,0.9241403528063717,"[(19, 10.0), (19, 10.0), (19, 10.0), (19, 10.0), (19, 10.0)]"
xlsr,deep,centroid,0.8178339792447646,0.776677820706155,0.8522608981496643,"[(19, 1.0), (19, 1.0), (19, 1.0), (19, 1.0), (19, 1.0)]"
w2v2lv60,early,knn,0.7321714133379256,0.6948721968957593,0.7671771149634763,"[(3, 1.0), (3, 1.0), (5, 1.0), (4, 1.0), (3, 1.0)]"
w2v2lv60,early,logreg,0.9212586265139487,0.8892497489850085,0.9494853616335001,"[(3, 10.0), (3, 10.0), (3, 10.0), (3, 10.0), (3, 10.0)]"
w2v2lv60,early,centroid,0.8053030818125422,0.7682364297490736,0.841549641201805,"[(3, 1.0), (3, 1.0), (3, 1.0), (3, 1.0), (3, 1.0)]"
w2v2lv60,deep,knn,0.7494803765348156,0.7165990103081088,0.7825805103753047,"[(21, 1.0), (19, 1.0), (19, 1.0), (21, 1.0), (21, 1.0)]"
w2v2lv60,deep,logreg,0.916824146080085,0.8933727401636152,0.9363808697649612,"[(21, 10.0), (21, 10.0), (20, 10.0), (20, 10.0), (21, 10.0)]"
w2v2lv60,deep,centroid,0.8251024970508274,0.794407530304534,0.8564985658645298,"[(21, 1.0), (21, 1.0), (21, 1.0), (21, 1.0), (21, 1.0)]"
w2vbert,early,knn,0.8328693946390068,0.797554101064501,0.8628209618634106,"[(3, 1.0), (3, 1.0), (3, 1.0), (3, 1.0), (3, 1.0)]"
w2vbert,early,logreg,0.952681574770898,0.9314142780999862,0.9718833808944967,"[(3, 10.0), (2, 10.0), (3, 10.0), (3, 10.0), (3, 10.0)]"
w2vbert,early,centroid,0.8586799531021431,0.8241433325870402,0.8875977479691854,"[(3, 1.0), (3, 1.0), (3, 1.0), (3, 1.0), (3, 1.0)]"
w2vbert,deep,knn,0.812819654304937,0.7746727709520753,0.8469217199493461,"[(21, 1.0), (19, 1.0), (18, 1.0), (19, 1.0), (19, 1.0)]"
w2vbert,deep,logreg,0.9403092822481313,0.9169910566485783,0.9607535166732802,"[(17, 10.0), (17, 10.0), (17, 10.0), (17, 10.0), (17, 10.0)]"
w2vbert,deep,centroid,0.8516488457399507,0.8166647222370994,0.8836232516713228,"[(17, 1.0), (17, 1.0), (17, 1.0), (17, 1.0), (17, 1.0)]"
