ssl,layer,same_system_cross_seed_dist,cross_system_same_utt_dist,ratio
wavlm,0,0.00435005035251379,0.021367216482758522,0.20358526706695557
wavlm,4,0.012315156869590282,0.04551579803228378,0.27056884765625
w2vbert,0,0.02001246064901352,0.0496259368956089,0.40326616168022156
w2vbert,3,0.015238890424370766,0.05573570728302002,0.27341341972351074
hubert,0,0.003115881234407425,0.01435887161642313,0.21700042486190796
hubert,6,0.008114617317914963,0.02791108377277851,0.2907310128211975
xlsr,0,0.007084724027663469,0.03203143551945686,0.22118034958839417
xlsr,5,0.01197478361427784,0.038416940718889236,0.3117057979106903
w2v2lv60,0,0.0027378262020647526,0.01055931393057108,0.2592806816101074
w2v2lv60,21,0.014862743206322193,0.04109138622879982,0.3616997301578522
