ssl,query,macro_f1,drop_vs_orig,drop_ci_lo,drop_ci_hi,layers,recall_f5tts,recall_xtts,recall_cosyvoice3,recall_chatterbox,recall_indextts
wavlm,orig,0.8025207423548399,0.0,-0.0,-0.0,"[4, 5, 4, 5, 4]",0.9166666666666666,0.9166666666666666,0.5833333333333334,0.7666666666666667,0.8166666666666667
wavlm,s101,0.7709135524076103,0.031607189947229664,-0.002309297012084815,0.06359316215890179,"[4, 5, 4, 5, 4]",0.8333333333333334,0.8833333333333333,0.5666666666666667,0.8333333333333334,0.7333333333333333
wavlm,s102,0.7922560840728423,0.01026465828199763,-0.025443225749797883,0.05142973356586402,"[4, 5, 4, 5, 4]",0.9166666666666666,0.8666666666666667,0.6166666666666667,0.7666666666666667,0.7833333333333333
wavlm,s103,0.8156853079827611,-0.013164565627921121,-0.062053347026687244,0.03523659223326184,"[4, 5, 4, 5, 4]",0.8833333333333333,0.9166666666666666,0.6,0.8,0.8666666666666667
w2vbert,orig,0.82221154739023,0.0,-0.0,-0.0,"[3, 3, 3, 0, 19]",0.9,0.9833333333333333,0.5333333333333333,0.8666666666666667,0.85
w2vbert,s101,0.8323996893483638,-0.01018814195813389,-0.05242051118589897,0.03691617656888722,"[3, 3, 3, 0, 19]",0.8666666666666667,1.0,0.6333333333333333,0.8,0.8666666666666667
w2vbert,s102,0.8286938219671842,-0.006482274576954272,-0.05695003446648758,0.0463546306167509,"[3, 3, 3, 0, 19]",0.8833333333333333,0.9833333333333333,0.6666666666666666,0.7833333333333333,0.8333333333333334
w2vbert,s103,0.8265199953490591,-0.00430844795882912,-0.04224607799013298,0.03785078431474884,"[3, 3, 3, 0, 19]",0.9166666666666666,1.0,0.65,0.7666666666666667,0.8
hubert,orig,0.6990218220385708,0.0,-0.0,-0.0,"[12, 3, 6, 5, 6]",0.8833333333333333,0.9333333333333333,0.38333333333333336,0.6833333333333333,0.6166666666666667
hubert,s101,0.7450965632005669,-0.04607474116199617,-0.09940410555924516,0.005618814820706811,"[12, 3, 6, 5, 6]",0.7333333333333333,0.95,0.6,0.8166666666666667,0.6
hubert,s102,0.7305980018766903,-0.031576179838119556,-0.07959809361383711,0.011004695506755332,"[12, 3, 6, 5, 6]",0.7833333333333333,0.9,0.48333333333333334,0.7833333333333333,0.6833333333333333
hubert,s103,0.7091397288578607,-0.010117906819289924,-0.048297546181247666,0.02944124956287966,"[12, 3, 6, 5, 6]",0.7833333333333333,0.8833333333333333,0.55,0.7833333333333333,0.5166666666666667
xlsr,orig,0.7656043123675594,0.0,-0.0,-0.0,"[5, 5, 5, 5, 6]",0.9333333333333333,0.9333333333333333,0.45,0.8166666666666667,0.7166666666666667
xlsr,s101,0.8187898213190037,-0.05318550895144425,-0.09675910473436905,-0.009133926037634302,"[5, 5, 5, 5, 6]",0.9,0.9666666666666667,0.6,0.8833333333333333,0.75
xlsr,s102,0.7978807621297628,-0.03227644976220334,-0.07216712702814804,0.005347122673028109,"[5, 5, 5, 5, 6]",0.9333333333333333,0.95,0.48333333333333334,0.8333333333333334,0.8166666666666667
xlsr,s103,0.8059776431701591,-0.04037333080259964,-0.08495304099011991,-0.0002226833675377489,"[5, 5, 5, 5, 6]",0.8833333333333333,0.9333333333333333,0.55,0.8666666666666667,0.8
w2v2lv60,orig,0.7707191772446009,0.0,-0.0,-0.0,"[21, 3, 19, 21, 21]",0.9166666666666666,0.9166666666666666,0.5333333333333333,0.7833333333333333,0.7
w2v2lv60,s101,0.756760825381515,0.013958351863085916,-0.03638785951274555,0.06757874498308235,"[21, 3, 19, 21, 21]",0.8833333333333333,0.8333333333333334,0.55,0.75,0.75
w2v2lv60,s102,0.7492272806558521,0.021491896588748838,-0.028446233301668563,0.07017413349557702,"[21, 3, 19, 21, 21]",0.8333333333333334,0.8666666666666667,0.48333333333333334,0.85,0.7166666666666667
w2v2lv60,s103,0.7386978388573603,0.03202133838724064,-0.013602491432485387,0.07749891484424652,"[21, 3, 19, 21, 21]",0.8333333333333334,0.8666666666666667,0.5166666666666667,0.75,0.7
